IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198782;43004611;INSTITUT JAUME HUGUET;TAR;19/11/2025;19/11/2025;15;15;75;99;75;99;SI;NO;;;;;;;;;;;
2198725;8042056;INSTITUT CAN PUIG;PEN;19/11/2025;19/11/2025;13;0;48;52;48;52;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no saben a qui els han lliurat;;;;;;;
2198784;8052891;INSTITUT L'ALT BERGUEDÀ;CCE;19/11/2025;19/11/2025;25;25;21;21;25;25;SI;NO;;;;;;;;;;;
2198776;8053145;INSTITUT CASTELLBISBAL;VOC;19/11/2025;19/11/2025;67;84;19;19;67;84;SI;NO;;;;;;;;;;;
2198680;8014693;INSTITUT GUILLEM DE BERGUEDÀ;CCE;19/11/2025;19/11/2025;56;66;27;58;56;66;SI;NO;;;;;;;;;;;
2198790;8043681;INSTITUT MARIANAO;BLL;20/11/2025;20/11/2025;36;0;37;67;37;67;SI;NO;;;;;;;;;;;
2198789;8066541;INSTITUT MARIA ESPINALT ;CEB;20/11/2025;20/11/2025;1;0;58;58;58;58;SI;NO;;;;;;;;;;;
2198788;8053315;INSTITUT MONTSERRAT ROIG;BLL;20/11/2025;20/11/2025;32;0;39;39;39;39;SI;NO;;;;;;;;;;;
2198741;25010280; INSTITUT ESCOLA TORRE QUERALT;LLE;20/11/2025;20/11/2025;9;0;7;9;9;9;SI;NO;;;;;;;;;;;
2198726;43007221;INSTITUT ELS ALFACS;TEB;20/11/2025;20/11/2025;26;22;44;44;44;44;SI;NO;;;;;;;;;;;
2198793;43008407;INSTITUT EL MORELL;TAR;20/11/2025;20/11/2025;10;0;49;65;49;65;SI;NO;;;;;;;;;;;
2198794;8071214;INSTITUT ESCOLA CASTELLTERÇOL;CCE;20/11/2025;20/11/2025;25;25;7;7;25;25;SI;NO;;;;;;;;;;;
2198785;8054873;INSTITUT JOAQUIMA PLA I FARRERAS;VOC;20/11/2025;20/11/2025;67;47;33;33;67;47;No;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198798;8052797;"	INSTITUT SALVADOR ESPRIU";CEB;21/11/2025;21/11/2025;3;0;45;26;45;26;NO;SI;SI;No vàlida;El centre indica que nomès té disponibles i identificats 26 equips d' incidental.;;;;;;;;
2198802;43010748;INSTITUT ELS PALLARESOS;TAR;21/11/2025;21/11/2025;35;0;48;4;48;4;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198737;8065019;INSTITUT DE VALLBONA D'ANOIA;PEN;21/11/2025;21/11/2025;41;30;16;7;41;37;NO;NO;;;Centre indica que mai ha tingut aquest excedent;;;;;;;;
2198810;8071226;"INSTITUT ESCOLA COSTA I LLOBERA	";CEB;24/11/2025;24/11/2025;8;8;38;43;38;43;NO;NO;;;El centre facilita tots el equips que tenen identificats com incidental al centre.;;;;;;;;
2198809;8047480;INSTITUT MEDITERRÀNIA;BLL;24/11/2025;24/11/2025;31;31;33;33;33;33;SI;NO;;;;;;;;;;;
2198808;8025654;INSTITUT JOAQUIM RUBIÓ I ORS;BLL;24/11/2025;24/11/2025;27;27;33;33;33;33;SI;NO;;;;;;;;;;;
2198738;8046645;INSTITUT MOLÍ DE LA VILA;PEN;24/11/2025;24/11/2025;32;0;40;115;40;115;SI;NO;;;En emportem material de mes, ;;;;;;;;
2198811;43006678;INSTITUT GABRIEL FERRATER I SOLER;TAR;24/11/2025;24/11/2025;18;0;37;37;37;37;SI;NO;;;;;;;;;;;
2198806;8035349;INSTITUT LA ROMÀNICA;VOC;24/11/2025;24/11/2025;62;62;23;23;62;62;SI;NO;;;;;;;;;;;
2198812;8046761;INSTITUT GUILLEM CATÀ;CCE;24/11/2025;24/11/2025;24;95;10;15;24;95;NO;NO;;;Tenen mes excedent previst;;;;;;;;
2198807;17005911;"INSTITUT RAMON COLL I RODÉS	";GIR;24/11/2025;24/11/2025;34;34;54;0;54;34;SI;NO;;;els hi van retirar els equips per servei, no té sentit demanar Valisa 🤔 (Rafa: corregit);;;;;;;;
2198815;8076145;"INSTITUT ESCOLA MAR MEDITERRÀNIA	";MVO;24/11/2025;24/11/2025;21;0;45;49;45;49;NO;NO;;;Centre indica que mai ha tingut aquest excedent;;;;;;;;
2198749;8047820;INSTITUT GUINOVARDA-PEN;PEN;25/11/2025;25/11/2025;36;0;13;0;36;36;SI;NO;;;;;;;;;;;
2198821;43000779;INSTITUT RAMON BERENGUER IV;TAR;25/11/2025;25/11/2025;7;0;34;34;34;34;SI;NO;;;;;;;;;;;
2198825;8062729;"INSTITUT PLA MARCELL	";MVO;25/11/2025;25/11/2025;3;41;43;40;43;81;NO;NO;;;Tenen mes excedent previst;;;;;;;;
2198817;17005388;"INSTITUT VALLVERA	";GIR;25/11/2025;25/11/2025;40;40;51;11;51;51;SI;NO;;;;;;;;;;;
2198819;08040540;INSTITUT EL CAIRAT;BLL;25/11/2025;25/11/2025;15;15;31;34;31;34;SI;NO;;;Ens donen 3 mes dintre del marge posible.;;;;;;;;
2198818;08021430;INSTITUT LLUÍS DE REQUESENS;BLL;25/11/2025;25/11/2025;12;12;32;30;32;30;NO;NO;;;Tenen menys incidental  del previst.;;;;;;;;
2198820;08013226;INSTITUT MENÉNDEZ Y PELAYO;CEB;25/11/2025;25/11/2025;13;13;36;36;36;36;SI;NO;;;;;;;;;;;
2198830;8077095;"	Institut Escola Mirades";CEB;26/11/2025;26/11/2025;19;19;34;27;34;27;NO;SI;SI;No vàlida;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198829;8033900;"	INSTITUT JOAN MIRÓ";BLL;26/11/2025;26/11/2025;17;17;29;24;29;24;NO;SI;SI;;El centre fa entrega dels 24 equips amb incidental retirables que tenen identificats.;Assessor BLL: Tenen els 5 equips preparats per ser recollits (17-12-25);;;;;;;
2198828;8063813;INSTITUT CREU DE SABA;BLL;26/11/2025;26/11/2025;5;5;30;21;30;21;NO;SI;NO;;El centre facilita tots el equips que tenen identificats com incidental al centre.;Assessor BLL: Tenen algunes incidències més i 2 portàtils que han de fer denúncia. Les dades que aportem no els hi quadra amb les que tenen ja que estan fent ús de portàtils propis per l'ESO comprats abans del PEDC. Necessitem més informació d'aquest centre.;;;;;;;
2198638;8031681;INSTITUT FRANCESC XAVIER LLUCH I RAFECAS;PEN;26/11/2025;26/11/2025;120;30;35;15;35;45;SI;SI;SI;;;Repartits a bat i cicles. ;;;;;;;
2198826;8031770;INSTITUT CAN JOFRESA;VOC;26/11/2025;26/11/2025;52;52;20;22;52;52;SI;NO;;;;;;;;;;;
2198831;8076959;INSTITUT ESCOLA CARLES CAPDEVILA;CCE;26/11/2025;26/11/2025;20;20;0;0;20;20;SI;NO;;;;;;;;;;;
2198834;8072383;"INSTITUT DOMUS D'OLIVET	";MVO;26/11/2025;26/11/2025;30;0;42;37;42;37;SI;SI;SI;;;;;;;;;;
2198827;17005251;"INSTITUT EL PEDRÓ	";GIR;26/11/2025;26/11/2025;45;0;51;12;41;12;SI;SI;SI;;;(MARC) Parlat amb direcció 09/12 i faran valisa;;;;;;;
2198839;8052839;"	INSTITUT CONSELL DE CENT";CEB;27/11/2025;27/11/2025;23;23;28;39;28;39;NO;NO;;;El centre facilita tots el equips que tenen identificats com incidental al centre.;;;;;;;;
2198838;8059688;"INSTITUT MARIA AURÈLIA CAPMANY	";BLL;27/11/2025;27/11/2025;6;6;27;13;27;13;NO;SI;SI;;El centre facilita tots el equips que tenen identificats com incidental al centre.;Assessor BLL: Trucada i pendent enviament;;;;;;;
2198837;"	08043671";"	INSTITUT EL PALAU";BLL;27/11/2025;27/11/2025;22;22;29;22;29;22;NO;SI;SI;;El centre facilita tots el equips que tenen identificats com incidental al centre.;Assessor BLL: 5 portàtils amb INC per ser recollits. Desconec si són anteriors, però demano que es retirin per actualizar aquest excedent. Informo també a l'altre full de INC obertes i NO tancades, serien aquests mateixos.;;;;;;;
;43010748;INSTITUT ELS PALLARESOS;TAR;27/11/2025;27/11/2025;35;0;48;44;48;44;SI;NO;;;;;;;;;;;
2198840;8072176;INSTITUT DEL TER;CCE;27/11/2025;27/11/2025;19;19;4;4;19;19;SI;NO;;;;;;;;;;;
2198835;8061208;INSTITUT VACARISSES;VOC;27/11/2025;27/11/2025;55;55;26;23;55;55;SI;NO;;;;;;;;;;;
2198848;8013366;"	INSTITUT NOU BARRIS";CEB;28/11/2025;28/11/2025;7;7;17;32;17;32;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198847;8064003;INSTITUT CAN MARGARIT;BLL;28/11/2025;28/11/2025;12;12;23;23;23;23;SI;NO;;;;;;;;;;;
2198750;8019630;INSTITUT PERE VIVES I VICH;PEN;28/11/2025;28/11/2025;36;0;35;24;36;24;NO;NO;SI;;;No saben on tenen repartits aquests ordinadors. // A la e-valisa (11/12/25) la directora exposa que ara els ordinadors els tenen incidentats i que es poden recollir. (Rafa: Es planifica una segona visita per recollir 12 ordinadors el dia 19/12/2025);;;;;;;
2198858;8047421;"	INSTITUT MONTSERRAT ROIG";CEB;1/12/2025;1/12/2025;2;2;17;16;17;16;NO;NO;;;1 equip en incidència ja va ser retirat amb anterioritat.;;;;;;;;
2198863;8077174;"Institut La Vall del Tenes	";MVO;1/12/2025;1/12/2025;19;0;38;4;38;4;NO;SI;SI;SI;El centre no te equips d'excedents i nomes te 4 d'incidencia;;;;;;;;
2198855;17000330;"INSTITUT JOSEP BRUGULAT	";GIR;1/12/2025;1/12/2025;30;26;45;18;45;44;NO;NO;;;;;;;;;;;
2198856;8076421;"	INSTITUT ESCOLA PEPA COLOMER	";BLL;1/12/2025;1/12/2025;7;7;18;7;18;7;NO;SI;SI;;El centre facilita 7 equips d'excendent amb incidental , no trova el resta d'equips identificats.;Assessor BLL: Han de fer denúncies d'alguns portàtils. No tenen més en estoc. Tenen incidentals posteriors al 15 d'octubre i per tant no poden entregar més. INC Desaparacions:REQ000012339312/REQ000012354917/REQ000012354761/REQ000012354848/REQ000012354680;;;;;;;
2198660;43004803;INSTITUT ANDREU NIN;PEN;1/12/2025;1/12/2025;110;110;5;5;110;110;SI;NO;;;;El centre va entregar els 110 ordinadors. He enviat l'albarà al Rafa Barrachina. ;;;;;;;
2198868;8012714;"INSTITUT ANNA GIRONELLA DE MUNDET	";CEB;2/12/2025;2/12/2025;14;14;17;33;17;33;NO;NO;;;El centre fa entrega que tots el equips amb incidental que tenen identificats.;;;;;;;;
2198866;8045689;"	INSTITUT VOLTRERA";BLL;2/12/2025;2/12/2025;2;2;15;15;15;15;SI;NO;;;;;;;;;;;
2243072;43007221;INSTITUT ELS ALFACS;TEB;2/12/2025;2/12/2025;;0;;17;;4;NO;NO;;;2na visita, en la primera es van deixar 17 equips;;;;;;;;
2198867;8035325;INSTITUT TORRENT DE LES BRUIXES;BNS;2/12/2025;2/12/2025;5;5;14;14;5;5;SI;NO;;;;;;;;;;;
2198864;8076820;INSTITUT ESCOLA SALA I BADRINAS;VOC;2/12/2025;2/12/2025;2;1;13;13;13;13;SI;NO;;;no tenen aquets equips en incidental ;;;;;;;;
2198869;8033924;INSTITUT PIUS FONT I QUER;CCE;2/12/2025;2/12/2025;17;36;3;3;17;36;NO;NO;;;;;;;;;;;
2198873;"08020838	";"INSTITUT MEDITERRÀNIA	";MVO;2/12/2025;2/12/2025;30;0;36;36;36;10;NO;SI;SI;;El centre nomes vol entregar 10 equips d'incidencia;;;;;;;;
2198865;"17001221	";"INSTITUT NARCÍS MONTURIOL	";GIR;2/12/2025;2/12/2025;3;1;43;41;43;41;NO;NO;;;El centre indica que no te mes equips excedents;;;;;;;;
2198878;8014188;INSTITUT JOSEP SERRAT I BON;CEB;3/12/2025;3/12/2025;3;3;16;14;16;14;NO;NO;;;El centre no trova 2 equips d'incidental.;;;;;;;;
2198877;8068495;"	INSTITUT JOSEFINA CASTELLVÍ I PIULACHS	";BLL;3/12/2025;3/12/2025;8;8;12;11;12;11;NO;NO;;;1 equip desaparegut pendent de denúncia.;;;;;;;;
2198876;8046657;INSTITUT JOAQUIM BLUME;BLL;3/12/2025;3/12/2025;6;6;13;13;13;13;NO;NO;;;;;;;;;;;
2198650;43008481;INSTITUT COLLBLANC;TAR;3/12/2025;3/12/2025;77;10;35;34;77;44;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198679;8065342;INSTITUT XALOC;PEN;3/12/2025;3/12/2025;53;30;22;2;53;32;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Estan regularitzant la situació. El centre nomès té ESO. Hem vist que tenen 15 euipaments desapareguts i sense fer denúncia. La faran i seguim regularitzant. Finalment el centre ha entregat els equips a l'alumant de matrícula viva i té molts equips desapareguts que ara farà la pertinent denúncia. Centre de màxima complexitat. ;;;;;;;
2198764;8043981;INSTITUT JOAN RAMON BENAPRÈS;PEN;3/12/2025;3/12/2025;2;0;32;29;32;29;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;diferència de menys 5. ;;;;;;;
2198862;43010335;INSTITUT LA MAR DE LA FRAU;TAR;3/12/2025;3/12/2025;4;0;25;17;25;14;NO;SI;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198879;8063837;INSTITUT LES MARGUES;CCE;3/12/2025;3/12/2025;11;11;16;16;11;11;NO;NO;;;;;;;;;;;
2198874;8042020;INSTITUT VALLÈS;VOC;3/12/2025;3/12/2025;1;1;12;8;1;1;SI;NO;;;no tenen aquets equips en incidental ;;;;;;;;
2198888;8066565;"	Institut Joncar";CEB;4/12/2025;4/12/2025;5;2;16;2;16;2;NO;NO;;;El centre indica que el material amb incidental pendent ja va ser retirar amb anterioritat.;;;;;;;;
2198651;8057230;INSTITUT CUBELLES;PEN;4/12/2025;4/12/2025;54;0;35;0;54;0;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198772;8065354;INSTITUT BAIX A MAR;PEN;4/12/2025;4/12/2025;32;0;10;10;32;10;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198870;43002582;INSTITUT SALVADOR VILASECA;TAR;4/12/2025;4/12/2025;32;1;30;0;32;1;NO;SI;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198773;8071238;INSTITUT ESCOLA JACINT VERDAGUER;PEN;4/12/2025;4/12/2025;32;0;30;14;32;14;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;e-valisa rebuda però NO VALIDA. Regularitzant la situació.;;;;;;;
2198886;8033912;INSTITUT MERCÈ RODOREDA;BNS;4/12/2025;4/12/2025;9;0;11;8;11;8;NO;NO;;;equipament robat ;;;;;;;;
2198635;8037176;INSTITUT LA BASTIDA;BNS;4/12/2025;4/12/2025;139;26;10;9;139;35;NO;SI;SI;SI;El centre indica que no te mes equips excedents;Assessor BNS: El coordinador no va tenir temps per actualitzar INDIC abns de l'arribada del tècnic i alguns repartits a postoblilgatòria. Necessita posar ordre a INDIC i s'informa que faci evalisa.;;;;;;;
2198887;8076947;INSTITUT ESCOLA LLUÍS MILLET;BNS;4/12/2025;4/12/2025;3;2;8;8;8;8;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198893;8052876;"INSTITUT D'ARGENTONA	";MVO;4/12/2025;4/12/2025;21;0;30;26;30;26;NO;NO;;;El centre no troba els 4 equips pendents;;;;;;;;
2198885;17005042;"INSTITUT CARLES RAHOLA I LLORENS	";GIR;4/12/2025;4/12/2025;18;0;19;7;19;7;NO;SI;SI;SI;;(MARC) Parlat amb direcció 14/01 i faran valisa;;;;;;;
2198898;8013470;INSTITUT BARRI BESÒS;CEB;5/12/2025;5/12/2025;5;5;13;7;13;7;NO;SI;SI;;El centre indica que els 6 equips d'incidental no retirats ja no es troben al centre.;(Rafa: entendre la ubicació d'aquests equips);;;;;;;
2198897;8064921;"	INSTITUT DE SANT ANDREU";BLL;5/12/2025;5/12/2025;2;2;6;6;6;6;NO;NO;;;;;;;;;;;
2198915;17010694;INSTITUT ESCOLA EL BRUEL-EMPURIABRAVA;GIR;9/12/2025;9/12/2025;2;2;7;6;7;6;NO;NO;;;Es retira tots els ordinadors amb incidencia;;;;;;;;
2198914;8076522;INSTITUT ESCOLA PALLEROLA;MVO;9/12/2025;9/12/2025;15;0;24;20;24;20;NO;NO;;;Es retira tots els ordinadors amb incidencia;(Rafa:retirats=20 i lliurats=9);;;;;;;
2198910;17006708;INSTITUT DE CELRÀ;GIR;9/12/2025;9/12/2025;27;0;38;36;38;36;NO;NO;;;Es retira tots els ordinadors amb incidencia;(Rafa:retirats=36 i lliurats=11);;;;;;;
2198913;8078361;INSTITUT ESCOLA SANT FELIP NERI;CEB;9/12/2025;9/12/2025;2;0;8;1;8;1;NO;NO;;;El centre indica que no disposa de material d'excedent i nomès té un equip amb incidental.;;;;;;;;
2198645;8039057;"	INSTITUT L'ALZINA";CEB;9/12/2025;9/12/2025;6;6;52;9;52;9;NO;SI;SI;;el centre indica que no te tots els equips en incidencia ;;;;;;;;
2198880;43006708;INSTITUT JOAN SEGURA I VALLS-TAR;TAR;9/12/2025;9/12/2025;5;0;13;13;13;13;SI;NO;;;;;;;;;;;
2198922;17001218;INSTITUT RAMON MUNTANER;GIR;10/12/2025;10/12/2025;26;0;34;33;34;33;NO;SI;;;Es retira tots els ordinadors amb incidencia;;;;;;;;
2198921;8015171;INSTITUT BISBE SIVILLA;MVO;10/12/2025;10/12/2025;19;0;23;21;23;21;NO;NO;;;Es retira tots els ordinadors amb incidencia;;;;;;;;
2198656;8077411;INS ESC SANT POL DE MAR;MVO;10/12/2025;10/12/2025;;0;;0;;0;NO;NO;;;el centre no lliura cap equipament ;;;;;;;;
2198791;8047364;INSTITUT JOAN MERCADER;PEN;10/12/2025;10/12/2025;3;0;29;28;29;28;SI;NO;;;;;;;;;;;
2198881;43006691;INSTITUT PRIORAT;TAR;10/12/2025;10/12/2025;8;0;12;12;12;12;SI;NO;;;;;;;;;;;
2198920;8013214;"INSTITUT NARCÍS MONTURIOL	";CEB;10/12/2025;10/12/2025;2;2;6;3;6;3;NO;NO;;;Es fa entrega de tot l'equipament amb incidència.;;;;;;;;
2198919;8064908;"	INSTITUT BEGUES";BLL;10/12/2025;10/12/2025;42;42;1;1;42;42;SI;NO;;;;;;;;;;;
2198918;8073077;"	INSTITUT MARIA CANELA";BLL;10/12/2025;10/12/2025;43;0;6;4;43;4;NO;SI;;;El centre indica que no te constancia dels 43 equips d'excedent.;Asessor BLL: Trucada 28-1-26. No tenen constància d'aquest prtàtils. La directora preguntarà al coordinador digital, si té més informació. Necessitat de revisar dades.;;;;;;;
2198760;8075657;"	INSTITUT ESCOLA ANTAVIANA";CEB;10/12/2025;10/12/2025;47;33;0;0;47;33;NO;SI;SI;;El centre indica que 14 equips d'excedent no han estat retornats pels alumnes.;;;;;;;;
2198916;8031873;INSTITUT ARNAU CADELL;VOC;10/12/2025;10/12/2025;43;22;2;2;45;22;NO;SI;SI;SI;El centre ho ha entregat a Batxillerat, que és una etapa que el necessiten molt. Entregaran la resta a final de curs. Parlat amb la secretària del centre;El centre ho ha entregat a Batxillerat, que és una etapa que el necessiten molt. Entregaran la resta a final de curs. Parlat amb la secretària del centre;;;;;;;
2198917;8046682;INSTITUT DE CASTELLAR;VOC;10/12/2025;10/12/2025;18;18;40;39;40;39;NO;NO;;;;;;;;;;;
2198927;8075670;"INSTITUT ESCOLA TRINITAT NOVA	";CEB;11/12/2025;11/12/2025;1;1;2;1;2;1;SI;NO;;;;;;;;;;;
2198926;8061129;"INSTITUT MONTSERRAT COLOMER	";BLL;11/12/2025;11/12/2025;38;38;2;1;38;39;SI;NO;;;;;;;;;;;
2198655;8066528;"	INSTITUT MARTÍ POUS";CEB;11/12/2025;11/12/2025;113;113;94;19;113;113;SI;NO;;;;;;;;;;;
2198792;8076960;INSTITUT ESCOLA RENAIXENÇA;PEN;11/12/2025;11/12/2025;28;28;13;0;28;28;SI;NO;;;;;;;;;;;
2198882;43008501;INSTITUT PONT DEL DIABLE;TAR;11/12/2025;11/12/2025;4;0;8;8;8;8;SI;NO;;;;;;;;;;;
2198923;8045306;INSTITUT RAMON CASAS I CARBÓ;VOC;11/12/2025;11/12/2025;37;27;3;3;37;27;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;El director aten a meva trucada i enviaran l'evalisa.;;;;;;;
2198924;8030340;INSTITUT INVESTIGADOR BLANXART;VOC;11/12/2025;11/12/2025;33;33;40;39;40;39;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198925;8076901;Institut Escola Turó d'en Caritg;BNS;11/12/2025;11/12/2025;39;4;0;0;39;4;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Assessor BNS: recordatori enviar evalisa fet 9-1-26;;;;;;;
2198929;17005662;INSTITUT SERRALLARGA;GIR;11/12/2025;11/12/2025;33;23;13;14;33;37;SI;NO;;;;;;;;;;;
2198928;8053030;INSTITUT DE LA ROCA DEL VALLÈS;MVO;11/12/2025;11/12/2025;22;0;23;22;23;22;NO;NO;;;Falta un equip que l'han robat i esta denunciat;;;;;;;;
2198935;17002399;INSTITUT LA GARROTXA;GIR;12/12/2025;12/12/2025;33;0;0;33;0;33;SI;NO;;;;;;;;;;;
2198934;8013093;"	INSTITUT MONTJUÏC";CEB;12/12/2025;12/12/2025;46;32;17;14;46;32;NO;SI;SI;;;;;;;;;;
2198933;8074628;"INSTITUT ROSA RIBAS PARELLADA	";BLL;12/12/2025;12/12/2025;38;38;22;1;38;39;SI;NO;;;;;;;;;;;
2198932;8041866;"	INSTITUT EL CALAMOT";BLL;12/12/2025;12/12/2025;38;33;35;33;35;33;NO;NO;;;;;;;;;;;
